id,titulo,descricao,orientacao,dicas,etapas_justificativa,imagem,slug,categoria,custo,requer_internet,etapas,plataformas,autor,autor_contato,link,descricao_categoria
11,LibrasTI,"O 'LibrasTI' é um aplicativo desenvolvido pelo PET-SI/UFRRJ em parceria com o NAPNE do IFSC, com o objetivo de promover a inclusão de surdos no campo tecnológico. O aplicativo oferece um glossário de termos técnicos da área de tecnologia da informação em Libras, através de vídeos que mostram os sinais correspondentes. Voltado para a plataforma Android, o LibrasTI é totalmente gratuito e pode ser utilizado offline, o que permite seu uso em qualquer lugar. A ferramenta é destinada a alunos, professores e profissionais da área de TI.","Para obter o máximo da ferramenta, é recomendável que os usuários explorem as diferentes categorias de termos disponíveis no glossário e utilizem o aplicativo como um recurso complementar ao ensino de tecnologia da informação. Em sala de aula, o LibrasTI pode ser usado para introduzir e reforçar vocabulário técnico em Libras, sendo especialmente útil em cursos de informática e disciplinas relacionadas. Como o app é offline, certifique-se de ter baixado todo o conteúdo necessário antes de utilizá-lo.","O aplicativo é indicado para atividades que envolvem o ensino de termos técnicos em tecnologia da informação, podendo ser utilizado em dinâmicas de grupo ou como recurso de estudo individual. No entanto, deve-se evitar seu uso exclusivo em áreas onde o vocabulário técnico é mais extenso ou complexo, complementando com outras ferramentas e recursos de Libras.","A tecnologia é adequada para alunos que estão em etapas mais avançadas de aprendizado e que já possuem um conhecimento básico de Libras. O LibrasTI é especialmente útil em cursos técnicos e de graduação na área de tecnologia da informação, onde há uma necessidade constante de compreender e utilizar termos técnicos em Libras.",librasti.jpg,librasti,Libras: Dicionários e Glossários,Grátis,Não,EJA; Ensino Superior; Ensino Médio,Android,PET-SI/UFRRJ,,"Android,https://play.google.com/store/apps/details?id=br.ufrrj.petsi.librasti&hl=pt_BR;","As ferramentas de Libras: Dicionários e Glossários desempenham um papel vital no aprendizado e aprimoramento do vocabulário em Libras para estudantes e professores. Elas são utilizadas para consultas rápidas durante as aulas e como material de apoio no aprendizado de novos sinais. É fundamental que os glossários estejam atualizados e adequados ao nível de conhecimento dos alunos. Essas tecnologias são recomendadas desde o Ensino Fundamental - Anos Iniciais, passando pelos Anos Finais, Ensino Médio e EJA, pois são importantes para todas as fases do aprendizado de Libras, do básico ao avançado."
12,Dicionário de Sinais da Área de Tecnologia,"O 'Dicionário de Sinais da Área de Tecnologia' é um site que oferece cerca de 100 sinais específicos relacionados à tecnologia e informática em Libras. Criado para atender às necessidades de profissionais surdos, tradutores e intérpretes de Libras, bem como estudantes de áreas tecnológicas, o dicionário visa facilitar a tradução e interpretação de termos técnicos, promovendo a inclusão e o desenvolvimento profissional de pessoas surdas. O site também serve como um recurso de consulta para profissionais da área.","Para obter o máximo da ferramenta, é recomendável que os usuários explorem os sinais disponíveis no site antes de utilizá-los em contextos educacionais ou profissionais. Em sala de aula, o dicionário pode ser utilizado como um recurso de apoio ao ensino de tecnologia, especialmente em disciplinas de informática. Como o site é uma ferramenta de consulta, é importante complementar seu uso com outras metodologias e recursos para garantir uma compreensão mais ampla dos conceitos.","O dicionário é indicado para atividades que envolvam o ensino de tecnologia e informática em Libras, podendo ser utilizado em aulas práticas e teóricas para facilitar a compreensão de termos técnicos. No entanto, deve-se evitar o uso exclusivo do dicionário, complementando com outras ferramentas educativas que abordem diferentes aspectos da área tecnológica.","A tecnologia é mais adequada para alunos que já possuem conhecimentos básicos de Libras e que estão em processo de aprofundamento em áreas tecnológicas. Nos anos finais do Ensino Fundamental e no Ensino Médio, o dicionário pode ser utilizado para introduzir e reforçar termos técnicos. No Ensino Superior e na EJA, é uma ferramenta de apoio para cursos que envolvem informática e tecnologia.",dicionario-de-sinais-da-area-de-tecnologia.jpg,dicionario-de-sinais-da-area-de-tecnologia,Libras: Dicionários e Glossários,Grátis,Sim,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Superior; EJA,Site,FESAI,,"Site,https://www.fesai.com.br/;","As ferramentas de Libras: Dicionários e Glossários desempenham um papel vital no aprendizado e aprimoramento do vocabulário em Libras para estudantes e professores. Elas são utilizadas para consultas rápidas durante as aulas e como material de apoio no aprendizado de novos sinais. É fundamental que os glossários estejam atualizados e adequados ao nível de conhecimento dos alunos. Essas tecnologias são recomendadas desde o Ensino Fundamental - Anos Iniciais, passando pelos Anos Finais, Ensino Médio e EJA, pois são importantes para todas as fases do aprendizado de Libras, do básico ao avançado."
13,Dicionário da Língua Brasileira de Sinais,"O 'Dicionário da Língua Brasileira de Sinais V3 - 2011' é um dicionário bilíngue, Português x Libras e Libras x Português, que oferece 8.000 sinais em vídeos animados. Criado por especialistas, o dicionário serve como uma ferramenta de apoio à educação de alunos surdos e como referência para pais, professores e a comunidade em geral. Disponível online através do site do INES, o dicionário é pioneiro na apresentação da Libras em formato virtual, facilitando a visualização dos sinais e sua aplicabilidade em contextos reais.","Para maximizar o uso da ferramenta, é recomendado que os usuários explorem as diferentes funcionalidades de busca por palavra, assunto, letra do alfabeto e configuração de mão. Em sala de aula, é importante utilizar o dicionário como complemento a outras atividades educativas, garantindo que os estudantes compreendam o contexto de uso dos sinais apresentados. O uso offline pode ser limitado, portanto, certifique-se de ter acesso à internet para aproveitar todos os recursos disponíveis.","O dicionário é indicado para atividades de aprendizagem de Libras e para o ensino de novos vocábulos em sala de aula. Pode ser utilizado para exercícios de tradução e compreensão de frases em Libras. No entanto, não é recomendado como única fonte de aprendizado, especialmente para áreas que requerem uma abordagem prática da língua de sinais. Complementar com atividades interativas pode melhorar a absorção do conteúdo.","O dicionário é mais adequado para estudantes que já possuem conhecimentos básicos de Libras e desejam expandir seu vocabulário. Nos anos finais do Ensino Fundamental e no Ensino Médio, pode ser utilizado para introduzir novos sinais e contextos de uso. No Ensino Superior e na EJA, é uma ferramenta de apoio para cursos que envolvem a tradução e interpretação de Libras.",dicionario-da-lingua-brasileira-de-sinais.jpg,dicionario-da-lingua-brasileira-de-sinais,Transcrição de Fala,Pago,Parcialmente,EJA; Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais,Site,Instituto Nacional de Educação de Surdos - INES,https://www.gov.br/ines/pt-br,"Site,https://www.ines.gov.br/dicionario-de-libras/;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
14,Ava: Transcriptions & Captions,"O 'Ava: Transcriptions & Captions' é um aplicativo que utiliza legendas ao vivo para transcrever voz em texto em tempo real, proporcionando acessibilidade para pessoas surdas ou com perda auditiva. O aplicativo pode ser utilizado em diversas situações, como salas de aula, reuniões de negócios, consultas médicas e eventos. Ava oferece transcrições de áudio em tempo real, com uma taxa de erro de aproximadamente 5 em cada 100 palavras. Com o recurso Ava Scribe, a precisão pode chegar a 1 erro em cada 100 palavras.","Para obter o máximo da ferramenta, é recomendável que os usuários explorem os recursos de personalização de vocabulário e correção de palavras, para melhorar a precisão das transcrições. Em ambientes educacionais, Ava pode ser utilizado para transcrever aulas e palestras, garantindo que os alunos surdos não percam informações importantes. No entanto, é importante garantir que o microfone esteja posicionado corretamente e que o ambiente seja silencioso para melhorar a qualidade da transcrição.","O aplicativo é indicado para aulas expositivas, conferências e situações onde a compreensão auditiva é essencial. Pode ser utilizado para acompanhar podcasts, vídeos ao vivo e conversas em grupo. No entanto, deve-se evitar o uso exclusivo de Ava em ambientes com muito ruído, onde a precisão da transcrição pode ser comprometida. Além disso, é importante complementar o uso do aplicativo com outras formas de comunicação, como materiais visuais.","A tecnologia é adequada para alunos que já possuem habilidades de leitura e podem acompanhar transcrições em tempo real. Nos anos finais do Ensino Fundamental e no Ensino Médio, o aplicativo pode ser utilizado para apoiar a compreensão de conteúdos mais complexos. No Ensino Superior e na EJA, é uma ferramenta valiosa para acompanhamento de aulas e palestras.",ava.jpg,ava,Transcrição de Fala,Freemium,Sim,EJA; EJA; Ensino Superior; Ensino Superior; Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais,Android; iOS,Ava Accessibility,,"Android,https://play.google.com/store/apps/details?id=com.transcense.ava_beta;iOS,https://apps.apple.com/us/app/ava-communicate-beyond-barriers/id1030067058;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
15,Live Transcribe,"O 'Live Transcribe' é um aplicativo de legendagem ao vivo que transcreve a fala em texto em tempo real, oferecendo suporte em mais de 70 idiomas. Desenvolvido para ser simples e fácil de usar, é uma ferramenta essencial para pessoas surdas ou com perda auditiva, permitindo a comunicação em diversos contextos, como salas de aula, consultas médicas e reuniões. O aplicativo também oferece suporte offline para 9 idiomas, tornando-o útil em locais sem acesso à internet.","Para maximizar o uso do Live Transcribe, é importante garantir que o microfone esteja posicionado adequadamente e que o ambiente seja silencioso para aumentar a precisão da transcrição. Utilize o recurso de personalização de texto para ajustar o tamanho e o layout da transcrição conforme necessário. Em sala de aula, o aplicativo pode ser uma excelente ferramenta para acompanhar palestras e aulas expositivas, garantindo que os estudantes surdos tenham acesso completo às informações.","O aplicativo é recomendado para atividades como palestras, discussões em grupo e qualquer situação onde a compreensão auditiva seja crucial. Também pode ser usado para acompanhar vídeos e conversas ao vivo. No entanto, em ambientes ruidosos, é importante complementar o uso do aplicativo com outros recursos, como materiais visuais, para garantir a compreensão total.","A tecnologia é mais adequada para alunos que possuem habilidades de leitura e conseguem acompanhar transcrições em tempo real. Nas etapas mais avançadas, como Ensino Médio e Superior, o Live Transcribe pode ser uma ferramenta valiosa para garantir que os alunos não percam informações importantes durante as aulas.",live-transcribe.jpg,live-transcribe,Transcrição de Fala,Grátis,Não,EJA; Ensino Superior; Ensino Fundamental - Anos Finais; Ensino Médio,iOS,Mighty Fine Apps LLC,https://www.livetranscribe.app/,"iOS,https://apps.apple.com/us/app/live-transcribe/id1471473738;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
16,Microsoft Translate,"O 'Microsoft Translate' é um aplicativo de tradução pessoal gratuito que suporta mais de 70 idiomas, permitindo a tradução de texto, voz, conversas, fotos e capturas de tela. Pode ser utilizado para transcrever fala em texto e transformar texto em voz, tornando-se uma ferramenta útil para pessoas surdas em diferentes contextos, como sala de aula, reuniões e viagens. O aplicativo também permite o download de idiomas para uso offline, o que amplia sua utilidade em locais sem conexão à internet.","Para obter o máximo da ferramenta, recomenda-se explorar os recursos de tradução de voz e texto e testar a funcionalidade de transcrição para garantir sua precisão. Em ambientes educacionais, o Microsoft Translate pode ser utilizado para apoiar a compreensão de conteúdo falado, especialmente em aulas com discussões ou apresentações. É importante estar ciente das limitações do aplicativo, como possíveis erros de tradução e a necessidade de conexão estável para o uso de algumas funcionalidades.","O aplicativo é indicado para atividades que envolvam a tradução de conversas ou a transcrição de aulas, podendo ser útil em dinâmicas de grupo e apresentações. No entanto, deve-se evitar confiar exclusivamente no Microsoft Translate em situações que exigem alta precisão, como traduções técnicas ou em idiomas menos comuns, complementando com outras ferramentas ou recursos quando necessário.","A tecnologia é mais adequada para alunos que possuem habilidades de leitura e que podem se beneficiar da tradução e transcrição de conteúdos em diferentes idiomas. No Ensino Médio e Superior, o Microsoft Translate pode ser uma ferramenta valiosa para acompanhar aulas e conferências em idiomas estrangeiros. Para a EJA, depende do nível de letramento e das necessidades linguísticas dos estudantes.",microsoft-translate.jpg,microsoft-translate,Transcrição de Fala,Grátis,Não,EJA; EJA; EJA; Ensino Superior; Ensino Superior; Ensino Superior; Ensino Médio; Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais,Android; iOS; Windows,Microsoft,,"Android,https://play.google.com/store/apps/details?id=com.microsoft.translator;iOS,https://itunes.apple.com/app/microsoft-translator/id1018949559;Windows,https://www.microsoft.com/store/productId/9WZDNCRFJ3PG;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
17,Tradutor de Conversas,"O 'Tradutor de Conversas' é um aplicativo que oferece tradução instantânea de voz e texto, facilitando a comunicação em ambientes multilíngues, como viagens, reuniões de negócios e conversas diárias. Com funcionalidades como tradução por voz, interpretação, cópia e compartilhamento, o app é útil para pessoas surdas que precisam de suporte na comunicação em diferentes contextos. A função de transcrição de fala em texto também é uma possibilidade, tornando o aplicativo versátil em diversas situações.","Para maximizar o uso da ferramenta, recomenda-se testar as funcionalidades de tradução de voz e texto em diferentes ambientes para garantir a precisão. O aplicativo pode ser utilizado em sala de aula para transcrever e traduzir diálogos, especialmente em aulas de idiomas ou em discussões multilíngues. É importante estar ciente de possíveis atrasos na tradução, especialmente em sessões prolongadas, e adaptar o uso conforme necessário.","O aplicativo é indicado para atividades que envolvam tradução e transcrição em tempo real, como apresentações e discussões em grupo. Pode ser utilizado para facilitar a comunicação entre alunos e professores em contextos multilíngues. No entanto, deve-se evitar confiar exclusivamente no aplicativo para traduções complexas ou em situações que exigem alta precisão, complementando com outras ferramentas.","A tecnologia é mais adequada para alunos que já possuem habilidades de leitura e que podem se beneficiar da tradução e transcrição de conteúdos falados. No Ensino Médio e Superior, o Tradutor de Conversas pode ser uma ferramenta útil para acompanhar discussões e aulas em diferentes idiomas. Para a EJA, depende do nível de letramento e das necessidades linguísticas dos estudantes.",tradutor-de-conversas.jpg,tradutor-de-conversas,Transcrição de Fala,Freemium,Sim,Ensino Médio; Ensino Fundamental - Anos Finais; EJA; Ensino Superior,Android,idealappcenter,,"Android,https://play.google.com/store/apps/details?id=com.translate.talkingtranslator;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
19,Hand Talk Tradutor para Libras,"O 'Hand Talk Tradutor para Libras' é um aplicativo que utiliza personagens virtuais, como Hugo e Maya, para traduzir texto e voz em Língua Brasileira de Sinais (Libras) e Língua de Sinais Americana (ASL). O app, premiado pela ONU, permite que os usuários aprendam e pratiquem Libras de forma divertida e eficiente, seja para se comunicar com surdos, reforçar o vocabulário ou desenvolver novas habilidades linguísticas. O aplicativo também oferece um dicionário de sinais e vídeos educativos.","Para maximizar o uso do Hand Talk como tecnologia assistiva, recomenda-se utilizar a função de tradução de texto e voz para Libras em situações cotidianas e educacionais. O app pode ser integrado em sala de aula como um recurso complementar para facilitar a comunicação entre surdos e ouvintes. No entanto, é importante ajustar a velocidade de tradução e revisar as traduções para garantir a precisão, especialmente em conteúdos mais complexos.","O aplicativo é indicado para atividades que envolvam a prática de Libras, como exercícios de tradução e compreensão de sinais. Pode ser utilizado para reforçar o aprendizado de vocabulário e facilitar a comunicação em sala de aula. No entanto, deve-se complementar o uso do app com outros recursos de ensino de Libras, pois o Hand Talk pode apresentar limitações em termos de variações de sinais regionais e interpretações mais avançadas.","A tecnologia é acessível para diferentes faixas etárias e etapas de ensino, podendo ser utilizada desde a Educação Infantil para introdução de Libras até o Ensino Médio e EJA, onde pode ser empregada para reforço de vocabulário e comunicação. A simplicidade e a abordagem lúdica do aplicativo o tornam adequado para crianças e iniciantes em Libras.",hand-talk.jpg,hand-talk,Libras: Tradução e Interpretação,Freemium,Não,EJA; EJA; Ensino Médio; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil; Educação Infantil; Ensino Fundamental - Anos Iniciais,Android; iOS,HandTalk,handtalk.me,"Android,https://play.google.com/store/apps/details?id=br.com.handtalk&hl=pt_BR;iOS,https://apps.apple.com/br/app/hand-talk-tradutor-para-libras/id659816995;","Na categoria Libras: Tradução e Interpretação, os aplicativos que traduzem texto em Libras e vice-versa são ferramentas que facilitam a comunicação entre surdos e ouvintes que não dominam Libras. Essas ferramentas são especialmente úteis em aulas com materiais textuais, ajudando na compreensão dos conteúdos. No entanto, é essencial confirmar a precisão das traduções e não depender exclusivamente dessas ferramentas em contextos complexos, onde um intérprete humano pode ser necessário. A recomendação de uso dessas tecnologias é para alunos do Ensino Fundamental - Anos Finais, Ensino Médio, Ensino Superior e EJA, uma vez que a tradução precisa de um bom entendimento do contexto, sendo mais adequada para alunos mais avançados."
20,Virginia ajuda deficientes,"O 'Virginia ajuda deficientes' é um aplicativo que transforma tablets ou smartphones em comunicadores, permitindo que pessoas com dificuldades na fala, como indivíduos com deficiência congênita, adquirida ou temporária, possam se comunicar. Através da síntese vocal do dispositivo, o usuário pode fazer pedidos e comunicar necessidades. O app é especialmente útil para pessoas sem cordas vocais ou que estão internadas e não conseguem se comunicar verbalmente.","Para obter o máximo da ferramenta como tecnologia assistiva, recomenda-se configurar o dispositivo com o mecanismo de síntese de fala mais adequado, como o Google TTS. O aplicativo pode ser utilizado em sala de aula para ajudar alunos com dificuldades de comunicação a expressarem suas necessidades. É importante testar o app em diferentes cenários para garantir que a comunicação seja clara e eficaz, e considerar o uso de figuras ou símbolos para complementar a comunicação.","O aplicativo é indicado para atividades que envolvam a necessidade de comunicação básica e expressiva, como pedir ajuda, água ou comida. Pode ser utilizado em contextos educacionais para facilitar a interação entre o aluno e o professor. No entanto, deve-se evitar confiar exclusivamente no aplicativo em situações mais complexas, complementando com outros recursos de comunicação assistiva.","A tecnologia é acessível para diferentes faixas etárias e pode ser utilizada para facilitar a comunicação de alunos com dificuldades de fala, desde a Educação Infantil até a EJA. O aplicativo pode ser especialmente útil para alunos com deficiências que afetam a fala e a comunicação.",virginia.jpg,virginia,Comunicação Assistiva,Grátis,Parcialmente,EJA; Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Iniciais; Educação Infantil,Android,Cisano,,"Android,https://play.google.com/store/apps/details?id=app.virginia.firstrelease&hl=pt_BR;","As tecnologias de Comunicação Assistiva são fundamentais para alunos que têm dificuldades de fala ou são não-verbais, utilizando símbolos e textos para facilitar a comunicação. É essencial implementar essas ferramentas em salas de aula com alunos que possuem limitações severas de comunicação, sempre adaptando conforme as necessidades específicas de cada um. A personalização das pranchas de comunicação é um cuidado necessário para garantir a eficácia do uso. Essas tecnologias devem ser introduzidas na Educação Infantil, com adaptações contínuas no Ensino Fundamental - Anos Iniciais e Anos Finais à medida que os alunos crescem e desenvolvem novas habilidades."
21,TurboScribe,"TurboScribe é um serviço de transcrição por IA que converte áudio e vídeo em texto com alta precisão (99,8%) em mais de 98 idiomas. Ele oferece transcrição ilimitada de arquivos de áudio e vídeo, sendo útil para surdos ou deficientes auditivos ao transcrever conteúdo falado em texto. O plano gratuito permite 3 transcrições diárias, cada uma com até 30 minutos.","Para obter o máximo da ferramenta, sempre certifique-se de usar áudio claro e limpo para melhorar a precisão das transcrições. Use o recurso de reconhecimento de locutores para identificar diferentes vozes em reuniões ou aulas. Lembre-se de que o plano gratuito tem limitações de tempo e quantidade de transcrições, então planeje seu uso de acordo.","Utilize o TurboScribe para transcrever palestras, aulas e reuniões, tornando o conteúdo acessível para alunos surdos. Recomenda-se utilizar a ferramenta em situações de aprendizagem onde o conteúdo verbal é essencial. Pode ser útil em estudos de grupo, permitindo que os alunos revisem as transcrições posteriormente.","A capacidade de transcrever áudio e vídeo em texto com alta precisão torna o TurboScribe uma ferramenta valiosa em diversas etapas de ensino, especialmente onde há grande ênfase no conteúdo falado.",turboscribe.jpg,turboscribe,Transcrição de Fala,Freemium,Sim,EJA; Ensino Superior; Ensino Médio; Ensino Fundamental - Anos Finais,Site,TurboScribe,https://turboscribe.ai/pt/,"Site,https://turboscribe.ai/pt/free-tools;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
22,Fireflies: AI notetaker,"O 'Fireflies: AI notetaker' é uma ferramenta de transcrição e anotação automática para reuniões e conversas de voz. Ele permite gravar e transcrever automaticamente reuniões em vários aplicativos de videoconferência, como Google Meet, Zoom e Microsoft Teams, e oferece funcionalidades de análise, pesquisa e colaboração. É uma solução poderosa para auxiliar pessoas surdas, permitindo que acompanhem e revisem reuniões e aulas através de transcrições precisas e rápidas.","Para obter o máximo da ferramenta como tecnologia assistiva, recomenda-se integrar o Fireflies com os aplicativos de videoconferência utilizados nas aulas. Certifique-se de que o AI notetaker esteja configurado para capturar todas as reuniões relevantes e revisar as transcrições para corrigir possíveis erros. O uso do Fireflies em sala de aula pode ajudar a garantir que alunos surdos tenham acesso completo ao conteúdo discutido em tempo real.","O aplicativo é indicado para situações como reuniões de grupo, aulas online e palestras, onde a transcrição precisa e rápida é essencial. No entanto, é importante estar ciente de que o aplicativo pode exigir ajustes em suas configurações para evitar capturar conversas indesejadas ou reuniões irrelevantes. Complementar o uso com outras formas de anotações pode ser útil para garantir a completude das informações.","A tecnologia é mais adequada para estudantes que já possuem habilidades de leitura e podem se beneficiar das transcrições automáticas de reuniões e aulas. No Ensino Médio e Superior, o Fireflies pode ser uma ferramenta valiosa para garantir que os alunos não percam informações importantes durante as aulas e conferências.",fireflies.jpg,fireflies,Transcrição de Fala,Pago,Sim,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Superior; EJA; EJA; Ensino Superior,Android; iOS,Fireflies.ai,https://fireflies.ai/,"Android,https://play.google.com/store/apps/details?id=ai.fireflies.mobile&utm_source=landing;iOS,https://apps.apple.com/us/app/fireflies-ai-notetaker/id6463164203?utm_source=landing;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
23,SpeechNotes,"O 'SpeechNotes' é um bloco de notas com conversor de fala em texto, projetado para transformar ditados em texto de forma contínua e eficiente. Com comandos de voz, o aplicativo é útil para quem precisa transcrever falas ou reuniões de forma prática, sem a necessidade de fazer login. Ele suporta múltiplos idiomas e funciona melhor quando conectado à internet, embora também opere offline com resultados limitados. É uma ferramenta assistiva útil para surdos, pois permite que o conteúdo falado seja convertido em texto.","Para maximizar o uso do SpeechNotes como tecnologia assistiva, recomenda-se utilizá-lo em situações de ditado ou em reuniões, onde a fala precisa ser convertida rapidamente em texto. É importante revisar as transcrições para corrigir possíveis erros, especialmente ao utilizar o aplicativo em português, onde algumas palavras podem não ser reconhecidas corretamente. O uso de um microfone de qualidade pode melhorar a precisão do reconhecimento de fala.","O aplicativo é indicado para transcrever discursos, reuniões ou mesmo aulas em tempo real. No entanto, deve-se estar ciente das limitações, como a dificuldade de reconhecer certos comandos de voz e a necessidade de corrigir pontuações. O uso do aplicativo deve ser complementado com revisões manuais para garantir a precisão.","A tecnologia é mais adequada para estudantes que já possuem habilidades de leitura e escrita, sendo útil para transcrever aulas e reuniões. O SpeechNotes pode ser uma ferramenta valiosa para garantir que os alunos não percam informações importantes durante as aulas e atividades educacionais.",speechnotes.jpg,speechnotes,Transcrição de Fala,Freemium,Parcialmente,Ensino Médio; Ensino Fundamental - Anos Finais; Ensino Fundamental - Anos Finais; Ensino Médio; Ensino Superior; Ensino Superior; EJA; EJA,Android; Site,SpeechNotes,https://speechnotes.co/,"Site,https://speechnotes.co/dictate/;Android,https://play.google.com/store/apps/details?id=co.speechnotes.speechnotes;","As tecnologias de Transcrição de Fala são ferramentas essenciais para a inclusão de surdos e deficientes auditivos em ambientes educacionais, pois convertem fala em texto em tempo real. Essas ferramentas são particularmente úteis em aulas expositivas, palestras e ambientes onde o áudio é crucial para a compreensão. No entanto, é importante garantir que a precisão das transcrições seja verificada, especialmente em ambientes com ruído. Essas tecnologias são recomendadas a partir do Ensino Fundamental - Anos Finais, pois a transcrição em tempo real requer que os alunos já possuam um nível avançado de leitura. No Ensino Médio, Ensino Superior e EJA, elas continuam sendo eficazes, proporcionando acessibilidade em aulas mais complexas e discussões acadêmicas."
